epoch,lr,loss,val_loss,par_metric,val_metric
0,[0.001],0.8068391966522271,0.5728142007985233,0.7003145320995434,0.5686357198518784
1,[0.001],0.7165851260464035,0.5767247300154141,0.6935513801402874,0.5825825378369838
2,[0.001],0.6955009407750637,0.5801453018427888,0.6731991237348265,0.5798160997998963
3,[0.001],0.6830938744247491,0.5816036785648944,0.6863539016998566,0.5776396149619167
4,[0.001],0.6706956174496873,0.583354844394882,0.6827098918390704,0.5787565317052741
5,[0.001],0.6616839045615545,0.6130835464659106,0.6401614331984306,0.6057360176612187
6,[0.001],0.6533003086606024,0.5923923656445491,0.6679945892041868,0.5946710872934576
7,[0.001],0.6473143714846987,0.6138337587873682,0.6485703343743676,0.6058375173353685
8,[0.001],0.6407675529546278,0.6091335720252247,0.6418840341739827,0.6122489294865425
9,[1e-05],0.6216863945737454,0.6249220704576038,0.6151213450474782,0.6207618142905608
10,[0.0001],0.606343451349493,0.6218761886659192,0.6144981166263959,0.6228903936410749
11,[0.0001],0.606171255124444,0.6257835324201567,0.6161833056458482,0.6199017359730851
12,[0.0001],0.6061563772313735,0.6226245162754317,0.6129824170121202,0.6228821893827685
13,[0.0001],0.6013184146766357,0.6275842708641657,0.6136074534407607,0.6217906334731009
14,[0.0001],0.5988534122121101,0.620253820082332,0.6157584347166457,0.620753147681301
15,[0.0001],0.5947424244009449,0.624492143243248,0.6156077314067532,0.6209630020336699
16,[0.0001],0.5945889079103283,0.6244824842640534,0.6146385062922228,0.6245928571591065
17,[0.0001],0.5907968554161024,0.6271656684212743,0.6145575980882387,0.6215337593510447
18,[0.0001],0.5864937753282129,0.6201394595280811,0.6149615434912948,0.621932302717956
19,[1.0000000000000002e-06],0.5885356944087567,0.6249077634061346,0.6141120370443877,0.6217872280958895
20,[1e-05],0.5818539667682002,0.6251090520333,0.6125764811361158,0.6240891815012074
21,[1e-05],0.5845944289642647,0.6272220793756788,0.6144126125284144,0.6224938442947198
22,[1e-05],0.5840394631851591,0.6292671263151185,0.6136680205663045,0.6199147295959809
23,[1e-05],0.5770597419105536,0.6223433313783382,0.6136194740329777,0.6234492868259253
24,[1e-05],0.58122025958782,0.6264086666750925,0.6129401624739707,0.625160726674986
25,[1e-05],0.5774896408891083,0.6236257458125115,0.612726481970366,0.6223161457691012
26,[1e-05],0.5802831265165631,0.624607827012749,0.6142168120220974,0.6244263130776153
27,[1e-05],0.5796676812537426,0.6248388768789198,0.6144666458035375,0.6213291110579426
28,[1e-05],0.5790346819980472,0.6256011566789685,0.6134303200352299,0.623497862542112
29,[1e-05],0.5767873632397881,0.624438146497715,0.6133671004492958,0.6248280786905724
30,[1e-05],0.5796514170480072,0.625035061070073,0.6138036423975283,0.621966314917531
31,[1e-05],0.5813030221245505,0.6258696015191229,0.6142309592650818,0.622676618368803
32,[1e-05],0.5788361046615982,0.6260058977536165,0.6129510314614923,0.6247549220970633
33,[1e-05],0.5806983777864732,0.6266745258195707,0.6137328340126588,0.6230551419071659
34,[1e-05],0.5800734434323302,0.6222326700272383,0.6132418665800009,0.6232085695931219
