epoch,lr,loss,metric,val_loss,val_metric
0.0,0.0003,0.9286346261251704,0.31737569275601174,0.8247471723470602,0.39038514317130885
1.0,0.0003,0.741614862899918,0.43291929022686076,0.7706263754818891,0.4472676070612042
2.0,0.0003,0.6766531641732915,0.4922744532931059,0.7557108181016939,0.46527361169296627
3.0,0.0003,0.6560048923595717,0.5150608156687934,0.7003201145309585,0.5085995224099223
4.0,0.0003,0.6459481612869978,0.525990329354827,0.6868803177867924,0.5312932799019512
5.0,0.0003,0.6365748728870915,0.5339655716492363,0.6794113078632871,0.5382641535040442
6.0,0.0003,0.633366479017244,0.5375090928339676,0.6742668393495921,0.5392705837691079
7.0,0.0003,0.6242478162803374,0.5448321849767988,0.6588274153503212,0.5481268732385727
8.0,0.0003,0.6261207036378151,0.5424818011289229,0.6555268184558766,0.5475688482491937
9.0,0.0003,0.6205484939180987,0.5483436672266728,0.6559742660135837,0.5493624356360822
10.0,0.0003,0.6162692641953699,0.5513917642161915,0.6546492807499997,0.5515516677543013
11.0,0.0003,0.6153435046492071,0.552935613816322,0.6967569007529869,0.526960243440534
12.0,0.0003,0.616220187624439,0.5525548541159637,0.6565551987639419,0.5465340867746923
13.0,0.0003,0.607717970433218,0.5570086834056436,0.6611985918637868,0.553869460465216
14.0,0.0003,0.6067914820750268,0.5595999178162536,0.6508676430126569,0.554065951574965
15.0,0.0003,0.6059333938123517,0.5592765591100355,0.659897595697695,0.5582707790439329
16.0,0.0003,0.6039644266724156,0.5612233083982933,0.6436316956270922,0.5563303277301845
17.0,0.0003,0.5986172522448461,0.5653483396616991,0.6333437374046257,0.5636168445643752
18.0,0.0003,0.5975508596277409,0.5659649915436061,0.6994233288206496,0.5322009611157724
19.0,0.0003,0.5969248856232915,0.5678383171000452,0.6462129996703552,0.5480839570401284
20.0,0.0003,0.5950381479323555,0.5684154251370751,0.6842230212581051,0.5321357617869472
21.0,0.0003,0.593047308900296,0.569331345416669,0.6546585298873283,0.5507434714351346
22.0,0.0003,0.5934294084564443,0.5683895994693713,0.6354638096448537,0.565823616154833
23.0,0.0003,0.5858903319611877,0.5754927180187199,0.6363303424001814,0.5618125193351614
24.0,0.0003,0.5837791276967913,0.5753959316797451,0.6297013970108719,0.5665794937204327
25.0,0.0003,0.5831123737867128,0.5775356985959716,0.6300814301044018,0.5657305913070054
26.0,0.0003,0.5827193245130325,0.5772282433821032,0.6386625341466955,0.5648400154368511
27.0,0.0003,0.5765999769691096,0.5818105650493308,0.6321154930570104,0.5701517752513833
28.0,0.0003,0.5786696457260352,0.5800598160448202,0.6294038078806422,0.5644161701214302
29.0,0.0003,0.5722544055553119,0.5850590997962809,0.6507529729121441,0.5573336823697752
30.0,0.0003,0.5730460927374527,0.5869727001958649,0.6377732366054981,0.564158713041663
31.0,0.0003,0.5691601514601105,0.5887220217104272,0.6530172402794296,0.556482318162987
32.0,0.0003,0.5688587369040892,0.5875851252532833,0.6314832933314212,0.568076997207427
33.0,0.0003,0.5650175493546772,0.5923363072837182,0.6353107222565659,0.5653276792539719
34.0,0.0003,0.5620662054645456,0.5946118523892978,0.6473010261853536,0.5608686236386989
35.0,0.0003,0.5600755459995477,0.5966519221936553,0.6389989705773087,0.5610079666917941
36.0,0.0003,0.5576918206920692,0.5989047194768093,0.6232539658073907,0.5761976085036433
37.0,0.0003,0.554333390849592,0.6016256364209538,0.6440005670796644,0.5609892246915152
38.0,0.0003,0.5523536356993101,0.6041492686529308,0.6360503535012941,0.5669280311373937
39.0,0.0003,0.552969346945897,0.6020104281150367,0.6404135774921726,0.5679303024875998
40.0,0.0003,0.5494812072829649,0.6035801520480321,0.6653236075564548,0.5526782780855913
41.0,0.0003,0.5496540037303195,0.606026925991069,0.6337822950638092,0.5711627286576644
42.0,0.0003,0.5460677855927161,0.6088159763145846,0.6394206329508945,0.5685954895802601
43.0,0.0003,0.5447503738239784,0.6076486545288218,0.6873881997288884,0.5425193067927858
44.0,0.0003,0.5419479587017845,0.6136122324975931,0.6580177971908638,0.5618154379645539
45.0,0.0003,0.5353788193382512,0.6165784282871868,0.7007671681610314,0.5350520138202597
46.0,0.0003,0.5362945465834993,0.6179450080036466,0.6615000701165414,0.5584043445147852
