epoch,lr,loss,val_loss,par_metric,val_metric
0,[0.001],0.8050237537067841,0.5431653365786682,0.7763089998348339,0.5497153977868725
1,[0.001],0.7185298820655401,0.5791649653818413,0.6970210264394949,0.5868296927008259
2,[0.001],0.6936021226718889,0.5721685668565358,0.6809754111745336,0.5886325629502962
3,[0.001],0.6763019271181654,0.5929933242732008,0.6552176224218832,0.6023625143995376
4,[0.001],0.6740469785403865,0.6056399066569201,0.634943080485404,0.6205113046427725
5,[0.001],0.6631235356530616,0.6066097635535984,0.6276526341567168,0.6247637256124303
6,[0.001],0.6549634804912642,0.5929661493478018,0.6599972432798094,0.6060463851364557
7,[0.001],0.6502580421174912,0.5893029761925037,0.6544419579677754,0.6102891548406996
8,[0.001],0.6437835897885117,0.6119647383336199,0.6275984340959841,0.6276289411458302
9,[1e-05],0.6206831202681264,0.6174258350371374,0.6097929447620839,0.635203108142018
10,[0.0001],0.6080911374665836,0.620408804095111,0.6082814380929277,0.6355284170520566
11,[0.0001],0.6108289605899716,0.6165993743128316,0.6094467784907367,0.631374592592094
12,[0.0001],0.6056020530256145,0.6172558815396979,0.6091995475528477,0.6331267993977643
13,[0.0001],0.6010105561551351,0.6180287902281435,0.61130461542456,0.6316733921265144
14,[0.0001],0.590902594905911,0.6206348348116073,0.609102636522001,0.6353424944629463
15,[0.0001],0.5919944393231057,0.6163541676318606,0.6090983558345485,0.6310815880593427
16,[0.0001],0.5930887095218461,0.617327587893112,0.6107165190550659,0.631374528213049
17,[0.0001],0.589034939513487,0.6132759816235519,0.6144413623723898,0.6295171529461376
18,[0.0001],0.585585755407279,0.6164454300059976,0.6125491760872506,0.6317897969396923
19,[1.0000000000000002e-06],0.5817645871596753,0.6182561128045279,0.6116041651717178,0.6317446782090446
20,[1e-05],0.5803333816787564,0.6155150442561373,0.6121968740815515,0.6303693684088612
