epoch,lr,loss,val_loss,val_metric,para_metric
0.0,,0.9286992319544455,0.8041920942229194,0.5233315210970667,0.5176002308803028
1.0,,0.8639875758859448,0.8324557926203754,0.5096548442867245,0.5062006487728167
2.0,,0.8583883922799189,0.7675889372825623,0.5428753405569401,0.5417476618862128
3.0,,0.8415748460848529,0.7407102797482464,0.5597504215306196,0.5538626808946309
4.0,,0.8258418906452064,0.7878776727495966,0.5342541441941316,0.5335920016381834
5.0,,0.8257068542609537,0.724013686502302,0.5728305785940385,0.5651786953076785
6.0,,0.8170755376493124,0.7373332110611168,0.5636591094559689,0.5686394499176811
7.0,,0.8059291705153042,0.8499774079065066,0.5041336969863255,0.49612148021687213
8.0,,0.8127123569187366,0.7102899203429351,0.5796623884638071,0.5769709808021337
9.0,,0.8013630963805923,0.7200594104625083,0.5727898116450323,0.5754819040980577
10.0,,0.8013558996351142,0.6925138392963925,0.5880899006023023,0.5903426177252812
11.0,,0.7895155732344864,0.6992176009191049,0.5853744348164747,0.5797836348035927
12.0,,0.7935300803722296,0.7067565740765752,0.5800376271385289,0.5726508890835978
13.0,,0.7907005332914511,0.6959963163814029,0.5957246795938418,0.5926472001547182
14.0,,0.7825006355020336,0.7101328245691351,0.5922187676028744,0.5933480198871124
15.0,,0.7866472379605572,0.7535373417106834,0.5613826776330763,0.565399937628152
16.0,,0.7844175609879027,0.6834068826726964,0.5940278065293483,0.5906730969476126
17.0,,0.778410842364892,0.7434894571433196,0.569455528584195,0.5652328538653754
18.0,,0.7698459909374552,0.735448587101859,0.5705435396814276,0.571053723359518
19.0,,0.7785266171720692,0.6684791998283283,0.6053684437313962,0.6000455609120356
20.0,,0.7708926767334903,0.6830446009700363,0.5961857252826421,0.5913487351767698
21.0,,0.7703006138927058,0.690295138230195,0.5936191422269411,0.5968875450776315
22.0,,0.7688576715333121,0.6944407190825488,0.5904071103729779,0.5871134237396972
