epoch,lr,loss,val_loss,par_metric,val_metric
0,[0.001],0.8064202921275787,0.5328104084720965,0.7338713427921674,0.5556103890566179
1,[0.001],0.7081676160056748,0.5188871400875052,0.7651533313699671,0.5372757581676225
2,[0.001],0.6834943270088305,0.597197495981879,0.6513267175571339,0.6115048524829755
3,[0.001],0.6767705557818081,0.6029672549588805,0.6437302470207215,0.6169750958294773
4,[0.001],0.6684382735832914,0.5997747863553856,0.6548126356021778,0.61306121232555
5,[0.001],0.6582971446335635,0.5856864234658791,0.6530907815641112,0.6071878615083548
6,[0.001],0.6477623980844297,0.5745819894306945,0.6871557163762617,0.5936079494981175
7,[0.001],0.6426557387472687,0.5949849884062586,0.6620398048882012,0.6032697500667275
8,[0.001],0.6410707846788587,0.5861151536131876,0.6567315333598369,0.610827959034596
9,[1e-05],0.6173547738482396,0.6225889182439983,0.610396325266039,0.6309621362365856
10,[0.0001],0.6066680128774116,0.6255690256016417,0.606120802690317,0.6338231209828593
11,[0.0001],0.6028342948771628,0.6245386422641767,0.6083472432316961,0.6343899176038198
12,[0.0001],0.5975064158758377,0.6257825225932734,0.6074023263948458,0.6357706639236341
13,[0.0001],0.5984947255375976,0.6229833430034021,0.6080465158900699,0.6337075777264917
14,[0.0001],0.5978278297791506,0.6249234869634038,0.606636724063942,0.6361803088363561
15,[0.0001],0.5933797282968613,0.6231034758722996,0.6064237798656429,0.6335291524676009
16,[0.0001],0.5884081521561226,0.6179743995981172,0.609055282403757,0.6361470819754861
17,[0.0001],0.5872898128368426,0.625897277312716,0.6063849936734449,0.6354308264734014
18,[0.0001],0.5849982052244604,0.6204958464099506,0.6093782603203713,0.633776154147685
19,[1.0000000000000002e-06],0.583575085735151,0.6234018387993612,0.6078751993608904,0.6317369904639569
20,[1e-05],0.5808781663789256,0.622584588457216,0.6075055422009649,0.6337766549159639
21,[1e-05],0.5803792826738374,0.6193767218604294,0.6085408601674948,0.6361043647851121
22,[1e-05],0.5815100740515187,0.6207295183755966,0.6089466427897547,0.6332957939589678
23,[1e-05],0.5771484697991301,0.6254862824163099,0.6089712064545434,0.6333068988745872
24,[1e-05],0.5774253596171551,0.6232169382543729,0.6079231704677548,0.6340118498989717
