epoch,lr,loss,metric,val_loss,val_metric
0.0,0.0003,0.9671657798737825,0.31088379774582175,0.8750726907102911,0.3616109617830615
1.0,0.0003,0.7854169734118217,0.41689159708863754,0.749310906620713,0.4597129472843685
2.0,0.0003,0.7326168334010706,0.4686492329378626,0.7714447277086275,0.45954563810996074
3.0,0.0003,0.7058462309062696,0.4946240405678913,0.7515405616244755,0.4766082002661979
4.0,0.0003,0.6951180011141601,0.5050843766871288,0.7056015343279451,0.5078494342089361
5.0,0.0003,0.6836649139112514,0.515899893967143,0.6757819897419698,0.5259049187001882
6.0,0.0003,0.6796755585214291,0.5199337221968942,0.6649211304681795,0.53356277655735
7.0,0.0003,0.673555448328545,0.5250338803086252,0.7014799483187564,0.5143831830901994
8.0,0.0003,0.6682823786666677,0.5293224486684427,0.6783177736643199,0.5335327309353598
9.0,0.0003,0.6574802508423044,0.5370743377413597,0.678745277507885,0.5323515117876899
10.0,0.0003,0.6491729923749229,0.5442221890726424,0.7227301107870566,0.5031915822225752
11.0,0.0003,0.6433058021731325,0.548279813853529,0.7527509754842466,0.49339485864429244
12.0,0.0003,0.6402539956225385,0.5510354132411525,0.6563550892176929,0.5435715007969064
13.0,0.0003,0.6301152165508442,0.5582480001579394,0.7522661578547847,0.4873773566395305
14.0,0.0003,0.6190428886064984,0.5676952588182896,0.6632926522074519,0.5463084417954224
15.0,0.0003,0.6067455973113056,0.5769381540105537,0.6746475580576304,0.5382854327256589
16.0,0.0003,0.5921107898550343,0.5883717921987396,0.7659362732827126,0.49593933893288367
17.0,0.0003,0.5818196197817042,0.5960266017108379,0.6899578652940355,0.5428423005249701
18.0,0.0003,0.5638961320211741,0.6094977611098374,0.6954433676358815,0.5332070704742878
19.0,0.0003,0.5529980998930087,0.6180551825904801,0.8020900801495389,0.4754952435179684
20.0,0.0003,0.5292245418586455,0.6353349106983611,0.7626137353278495,0.49419413015992
21.0,0.0003,0.5160217369614095,0.6441248166907295,0.7026791805619592,0.5276017942465737
22.0,0.0003,0.4934005610886894,0.6620605380246469,0.7619703674101614,0.5077006947025258
23.0,0.0003,0.473844963882374,0.6761141708955798,0.7892350224761275,0.48848347133456277
24.0,0.0003,0.45083255248164444,0.693483361988825,0.7579919140618127,0.5073876173732804
